i would like a flight from philadelphia to dallas that makes a stop in atlanta	i would like a flight from philadelphia to dallas that makes a stop in atlanta	[IN:FLIGHT i would like a flight from [SL:FROM_LOCATION [SL:CITY_NAME philadelphia ] ] to [SL:TO_LOCATION [SL:CITY_NAME dallas ] ] that makes a stop in [SL:STOP_LOCATION [SL:CITY_NAME atlanta ] ] ]
is there a flight leaving san francisco to denver	is there a flight leaving san francisco to denver	[IN:FLIGHT is there a flight leaving [SL:FROM_LOCATION [SL:CITY_NAME san francisco ] ] to [SL:TO_LOCATION [SL:CITY_NAME denver ] ] ]
i would like to fly from atlanta to denver on september fifteenth	i would like to fly from atlanta to denver on september fifteenth	[IN:FLIGHT i would like to fly from [SL:FROM_LOCATION [SL:CITY_NAME atlanta ] ] to [SL:TO_LOCATION [SL:CITY_NAME denver ] ] on [SL:DEPART_DATE [SL:MONTH_NAME september ] ] [SL:DEPART_DATE [SL:DAY_NUMBER fifteenth ] ] ]
i need to take ten people from denver to san diego with a stopover in phoenix please give me the flights	i need to take ten people from denver to san diego with a stopover in phoenix please give me the flights	[IN:FLIGHT i need to take ten people from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME san diego ] ] with a stopover in [SL:STOP_LOCATION [SL:CITY_NAME phoenix ] ] please give me the flights ]
what flights go from philadelphia to dallas via atlanta	what flights go from philadelphia to dallas via atlanta	[IN:FLIGHT what flights go from [SL:FROM_LOCATION [SL:CITY_NAME philadelphia ] ] to [SL:TO_LOCATION [SL:CITY_NAME dallas ] ] via [SL:STOP_LOCATION [SL:CITY_NAME atlanta ] ] ]
what is the round trip fare on continental 1291 from denver to san francisco and return	what is the round trip fare on continental 1291 from denver to san francisco and return	[IN:AIRFARE what is the [SL:ROUND_TRIP round trip ] fare on [SL:AIRLINE_NAME continental ] [SL:FLIGHT_NUMBER 1291 ] from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] and [SL:ROUND_TRIP return ] ]
what flights are there on sunday from seattle to chicago	what flights are there on sunday from seattle to chicago	[IN:FLIGHT what flights are there on [SL:DEPART_DATE [SL:DAY_NAME sunday ] ] from [SL:FROM_LOCATION [SL:CITY_NAME seattle ] ] to [SL:TO_LOCATION [SL:CITY_NAME chicago ] ] ]
ground transportation oakland	ground transportation oakland	[IN:GROUND_SERVICE ground transportation [SL:CITY_NAME oakland ] ]
i need to find a flight from philadelphia to san francisco that has a stopover in dallas	i need to find a flight from philadelphia to san francisco that has a stopover in dallas	[IN:FLIGHT i need to find a flight from [SL:FROM_LOCATION [SL:CITY_NAME philadelphia ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] that has a stopover in [SL:STOP_LOCATION [SL:CITY_NAME dallas ] ] ]
show me the flights from san diego to washington dc	show me the flights from san diego to washington dc	[IN:FLIGHT show me the flights from [SL:FROM_LOCATION [SL:CITY_NAME san diego ] ] to [SL:TO_LOCATION [SL:CITY_NAME washington ] ] [SL:TO_LOCATION [SL:STATE_CODE dc ] ] ]
i would like your rates between atlanta and boston on september third	i would like your rates between atlanta and boston on september third	[IN:AIRFARE i would like your rates between [SL:FROM_LOCATION [SL:CITY_NAME atlanta ] ] and [SL:TO_LOCATION [SL:CITY_NAME boston ] ] on [SL:DEPART_DATE [SL:MONTH_NAME september ] ] [SL:DEPART_DATE [SL:DAY_NUMBER third ] ] ]
show me boston ground transportation	show me boston ground transportation	[IN:GROUND_SERVICE show me [SL:CITY_NAME boston ] ground transportation ]
what is the cost for a one way trip from pittsburgh to atlanta	what is the cost for a one way trip from pittsburgh to atlanta	[IN:AIRFARE what is the cost for a [SL:ROUND_TRIP one way ] trip from [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] ]
could you please find me the cheapest one way fare from boston to philadelphia	could you please find me the cheapest one way fare from boston to philadelphia	[IN:AIRFARE could you please find me the [SL:COST_RELATIVE cheapest ] [SL:ROUND_TRIP one way ] fare from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME philadelphia ] ] ]
from baltimore to san francisco	from baltimore to san francisco	[IN:FLIGHT from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
show all flights from baltimore to dallas on monday evening and the cost of each flight	show all flights from baltimore to dallas on monday evening and the cost of each flight	[IN:FLIGHT show all flights from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] to [SL:TO_LOCATION [SL:CITY_NAME dallas ] ] on [SL:DEPART_DATE [SL:DAY_NAME monday ] ] [SL:DEPART_TIME [SL:PERIOD_OF_DAY evening ] ] and the cost of each flight ]
show me the airlines between toronto and denver	show me the airlines between toronto and denver	[IN:AIRLINE show me the airlines between [SL:FROM_LOCATION [SL:CITY_NAME toronto ] ] and [SL:TO_LOCATION [SL:CITY_NAME denver ] ] ]
all flights pittsburgh to baltimore on thursday arrival by 10 am	all flights pittsburgh to baltimore on thursday arrival by 10 am	[IN:FLIGHT all flights [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] to [SL:TO_LOCATION [SL:CITY_NAME baltimore ] ] on [SL:DEPART_DATE [SL:DAY_NAME thursday ] ] arrival [SL:ARRIVE_TIME [SL:TIME_RELATIVE by ] ] [SL:ARRIVE_TIME [SL:TIME 10 am ] ] ]
what is the cheapest fare for a one way flight from boston to atlanta	what is the cheapest fare for a one way flight from boston to atlanta	[IN:AIRFARE what is the [SL:COST_RELATIVE cheapest ] fare for a [SL:ROUND_TRIP one way ] flight from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] ]
"i""d like an afternoon flight from atlanta to san francisco with a stopover in denver arriving i""d say about mealtime"	"i""d like an afternoon flight from atlanta to san francisco with a stopover in denver arriving i""d say about mealtime"	[IN:FLIGHT i'd like an [SL:DEPART_TIME [SL:PERIOD_OF_DAY afternoon ] ] flight from [SL:FROM_LOCATION [SL:CITY_NAME atlanta ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] with a stopover in [SL:STOP_LOCATION [SL:CITY_NAME denver ] ] arriving i'd say [SL:ARRIVE_TIME [SL:TIME_RELATIVE about ] ] [SL:ARRIVE_TIME [SL:TIME mealtime ] ] ]
wednesday from baltimore to newark	wednesday from baltimore to newark	[IN:FLIGHT [SL:DEPART_DATE [SL:DAY_NAME wednesday ] ] from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] to [SL:TO_LOCATION [SL:CITY_NAME newark ] ] ]
philadelphia to boston saturday	philadelphia to boston saturday	[IN:FLIGHT [SL:FROM_LOCATION [SL:CITY_NAME philadelphia ] ] to [SL:TO_LOCATION [SL:CITY_NAME boston ] ] [SL:DEPART_DATE [SL:DAY_NAME saturday ] ] ]
"i""d like a flight on july ninth from orlando to kansas city in the afternoon"	"i""d like a flight on july ninth from orlando to kansas city in the afternoon"	[IN:FLIGHT i'd like a flight on [SL:DEPART_DATE [SL:MONTH_NAME july ] ] [SL:DEPART_DATE [SL:DAY_NUMBER ninth ] ] from [SL:FROM_LOCATION [SL:CITY_NAME orlando ] ] to [SL:TO_LOCATION [SL:CITY_NAME kansas city ] ] in the [SL:DEPART_TIME [SL:PERIOD_OF_DAY afternoon ] ] ]
show me the flights from cincinnati to denver	show me the flights from cincinnati to denver	[IN:FLIGHT show me the flights from [SL:FROM_LOCATION [SL:CITY_NAME cincinnati ] ] to [SL:TO_LOCATION [SL:CITY_NAME denver ] ] ]
i am looking to get one air fare from baltimore to san francisco on a 747 leaving august twenty seventh	i am looking to get one air fare from baltimore to san francisco on a 747 leaving august twenty seventh	[IN:AIRFARE i am looking to get one air fare from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] on a [SL:AIRCRAFT_CODE 747 ] leaving [SL:DEPART_DATE [SL:MONTH_NAME august ] ] [SL:DEPART_DATE [SL:DAY_NUMBER twenty seventh ] ] ]
i would like to fly from denver to pittsburgh on united airlines	i would like to fly from denver to pittsburgh on united airlines	[IN:FLIGHT i would like to fly from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME pittsburgh ] ] on [SL:AIRLINE_NAME united airlines ] ]
show me all fares from new york to miami leaving on a tuesday	show me all fares from new york to miami leaving on a tuesday	[IN:AIRFARE show me all fares from [SL:FROM_LOCATION [SL:CITY_NAME new york ] ] to [SL:TO_LOCATION [SL:CITY_NAME miami ] ] leaving on a [SL:DEPART_DATE [SL:DAY_NAME tuesday ] ] ]
show all flights on united airlines from san francisco to denver to washington dc	show all flights on united airlines from san francisco to denver to washington dc	[IN:FLIGHT show all flights on [SL:AIRLINE_NAME united airlines ] from [SL:FROM_LOCATION [SL:CITY_NAME san francisco ] ] to [SL:TO_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME washington ] ] [SL:TO_LOCATION [SL:STATE_CODE dc ] ] ]
how long is the flight from atlanta to san francisco at noon on november seventh	how long is the flight from atlanta to san francisco at noon on november seventh	[IN:DISTANCE how long is the flight from [SL:FROM_LOCATION [SL:CITY_NAME atlanta ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] at [SL:DEPART_TIME [SL:TIME noon ] ] on [SL:DEPART_DATE [SL:MONTH_NAME november ] ] [SL:DEPART_DATE [SL:DAY_NUMBER seventh ] ] ]
what is the last flight of the day to leave baltimore for boston	what is the last flight of the day to leave baltimore for boston	[IN:FLIGHT what is the [SL:FLIGHT_MOD last ] flight of the day to leave [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] for [SL:TO_LOCATION [SL:CITY_NAME boston ] ] ]
which flights from pittsburgh to atlanta have the lowest coach class fares	which flights from pittsburgh to atlanta have the lowest coach class fares	[IN:FLIGHT which flights from [SL:FROM_LOCATION [SL:CITY_NAME pittsburgh ] ] to [SL:TO_LOCATION [SL:CITY_NAME atlanta ] ] have the [SL:COST_RELATIVE lowest ] [SL:CLASS_TYPE coach class ] fares ]
what flights are available from philadelphia to denver on sundays	what flights are available from philadelphia to denver on sundays	[IN:FLIGHT what flights are available from [SL:FROM_LOCATION [SL:CITY_NAME philadelphia ] ] to [SL:TO_LOCATION [SL:CITY_NAME denver ] ] on [SL:DEPART_DATE [SL:DAY_NAME sundays ] ] ]
can you tell me the afternoon nonstop flights departing from atlanta to boston	can you tell me the afternoon nonstop flights departing from atlanta to boston	[IN:FLIGHT can you tell me the [SL:DEPART_TIME [SL:PERIOD_OF_DAY afternoon ] ] [SL:FLIGHT_STOP nonstop ] flights departing from [SL:FROM_LOCATION [SL:CITY_NAME atlanta ] ] to [SL:TO_LOCATION [SL:CITY_NAME boston ] ] ]
show me all the flights from new york to milwaukee	show me all the flights from new york to milwaukee	[IN:FLIGHT show me all the flights from [SL:FROM_LOCATION [SL:CITY_NAME new york ] ] to [SL:TO_LOCATION [SL:CITY_NAME milwaukee ] ] ]
show me all flights from milwaukee to orlando one way	show me all flights from milwaukee to orlando one way	[IN:FLIGHT show me all flights from [SL:FROM_LOCATION [SL:CITY_NAME milwaukee ] ] to [SL:TO_LOCATION [SL:CITY_NAME orlando ] ] [SL:ROUND_TRIP one way ] ]
what airlines leave from washington	what airlines leave from washington	[IN:AIRLINE what airlines leave from [SL:FROM_LOCATION [SL:CITY_NAME washington ] ] ]
i would like a flight from kansas city to st. paul departing at 4 pm	i would like a flight from kansas city to st. paul departing at 4 pm	[IN:FLIGHT i would like a flight from [SL:FROM_LOCATION [SL:CITY_NAME kansas city ] ] to [SL:TO_LOCATION [SL:CITY_NAME st. paul ] ] departing at [SL:DEPART_TIME [SL:TIME 4 pm ] ] ]
please show me the round trip flights from st. petersburg to toronto	please show me the round trip flights from st. petersburg to toronto	[IN:FLIGHT please show me the [SL:ROUND_TRIP round trip ] flights from [SL:FROM_LOCATION [SL:CITY_NAME st. petersburg ] ] to [SL:TO_LOCATION [SL:CITY_NAME toronto ] ] ]
show me the flights from denver to san francisco	show me the flights from denver to san francisco	[IN:FLIGHT show me the flights from [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
list the flights from baltimore to seattle that stop in minneapolis	list the flights from baltimore to seattle that stop in minneapolis	[IN:FLIGHT list the flights from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] to [SL:TO_LOCATION [SL:CITY_NAME seattle ] ] that stop in [SL:STOP_LOCATION [SL:CITY_NAME minneapolis ] ] ]
show me the last flight available in the evening from boston to dc on july twenty first	show me the last flight available in the evening from boston to dc on july twenty first	[IN:FLIGHT show me the [SL:FLIGHT_MOD last ] flight available in the [SL:DEPART_TIME [SL:PERIOD_OF_DAY evening ] ] from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:STATE_CODE dc ] ] on [SL:DEPART_DATE [SL:MONTH_NAME july ] ] [SL:DEPART_DATE [SL:DAY_NUMBER twenty first ] ] ]
leaving denver flying to san francisco before 10 am what type of aircraft is used	leaving denver flying to san francisco before 10 am what type of aircraft is used	[IN:AIRCRAFT leaving [SL:FROM_LOCATION [SL:CITY_NAME denver ] ] flying to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] [SL:DEPART_TIME [SL:TIME_RELATIVE before ] ] [SL:DEPART_TIME [SL:TIME 10 am ] ] what type of aircraft is used ]
code ff	code ff	[IN:ABBREVIATION code [SL:AIRLINE_CODE ff ] ]
show me all flights from new york to miami on a tuesday with round trip fares under 932 dollars	show me all flights from new york to miami on a tuesday with round trip fares under 932 dollars	[IN:FLIGHT show me all flights from [SL:FROM_LOCATION [SL:CITY_NAME new york ] ] to [SL:TO_LOCATION [SL:CITY_NAME miami ] ] on a [SL:DEPART_DATE [SL:DAY_NAME tuesday ] ] with [SL:ROUND_TRIP round trip ] fares [SL:COST_RELATIVE under ] [SL:FARE_AMOUNT 932 dollars ] ]
i want to fly from milwaukee to orlando	i want to fly from milwaukee to orlando	[IN:FLIGHT i want to fly from [SL:FROM_LOCATION [SL:CITY_NAME milwaukee ] ] to [SL:TO_LOCATION [SL:CITY_NAME orlando ] ] ]
all flights and fares from atlanta to dallas round trip after 12 pm less than 1100 dollars	all flights and fares from atlanta to dallas round trip after 12 pm less than 1100 dollars	[IN:FLIGHT [IN:AIRFARE all flights and fares from [SL:FROM_LOCATION [SL:CITY_NAME atlanta ] ] to [SL:TO_LOCATION [SL:CITY_NAME dallas ] ] [SL:ROUND_TRIP round trip ] [SL:DEPART_TIME [SL:TIME_RELATIVE after ] ] [SL:DEPART_TIME [SL:TIME 12 pm ] ] [SL:COST_RELATIVE less ] than [SL:FARE_AMOUNT 1100 dollars ] ] ]
show me the flights on american airlines from fort worth to denver on the evening of july eleventh	show me the flights on american airlines from fort worth to denver on the evening of july eleventh	[IN:FLIGHT show me the flights on [SL:AIRLINE_NAME american airlines ] from [SL:FROM_LOCATION [SL:CITY_NAME fort worth ] ] to [SL:TO_LOCATION [SL:CITY_NAME denver ] ] on the [SL:DEPART_TIME [SL:PERIOD_OF_DAY evening ] ] of [SL:DEPART_DATE [SL:MONTH_NAME july ] ] [SL:DEPART_DATE [SL:DAY_NUMBER eleventh ] ] ]
please list the flights from chicago to kansas city	please list the flights from chicago to kansas city	[IN:FLIGHT please list the flights from [SL:FROM_LOCATION [SL:CITY_NAME chicago ] ] to [SL:TO_LOCATION [SL:CITY_NAME kansas city ] ] ]
list the nonstop flights on wednesday june second from miami to washington arriving in washington between 1115 am and 1245 pm	list the nonstop flights on wednesday june second from miami to washington arriving in washington between 1115 am and 1245 pm	[IN:FLIGHT list the [SL:FLIGHT_STOP nonstop ] flights on [SL:ARRIVE_DATE [SL:DAY_NAME wednesday ] ] [SL:ARRIVE_DATE [SL:MONTH_NAME june ] ] [SL:ARRIVE_DATE [SL:DAY_NUMBER second ] ] from [SL:FROM_LOCATION [SL:CITY_NAME miami ] ] to [SL:TO_LOCATION [SL:CITY_NAME washington ] ] arriving in [SL:TO_LOCATION [SL:CITY_NAME washington ] ] between [SL:ARRIVE_TIME [SL:START_TIME 1115 am ] ] and [SL:ARRIVE_TIME [SL:END_TIME 1245 pm ] ] ]
i would like to know flights on june fifteenth from long beach to columbus after 12 noon please	i would like to know flights on june fifteenth from long beach to columbus after 12 noon please	[IN:FLIGHT i would like to know flights on [SL:DEPART_DATE [SL:MONTH_NAME june ] ] [SL:DEPART_DATE [SL:DAY_NUMBER fifteenth ] ] from [SL:FROM_LOCATION [SL:CITY_NAME long beach ] ] to [SL:TO_LOCATION [SL:CITY_NAME columbus ] ] [SL:DEPART_TIME [SL:TIME_RELATIVE after ] ] [SL:DEPART_TIME [SL:TIME 12 noon ] ] please ]
is there a round trip flight from baltimore to denver connecting in dallas	is there a round trip flight from baltimore to denver connecting in dallas	[IN:FLIGHT is there a [SL:ROUND_TRIP round trip ] flight from [SL:FROM_LOCATION [SL:CITY_NAME baltimore ] ] to [SL:TO_LOCATION [SL:CITY_NAME denver ] ] [SL:CONNECT connecting ] in [SL:STOP_LOCATION [SL:CITY_NAME dallas ] ] ]
"i""d like to find the cheapest flight from boston to san francisco"	"i""d like to find the cheapest flight from boston to san francisco"	[IN:FLIGHT i'd like to find the [SL:COST_RELATIVE cheapest ] flight from [SL:FROM_LOCATION [SL:CITY_NAME boston ] ] to [SL:TO_LOCATION [SL:CITY_NAME san francisco ] ] ]
what cities does continental service	what cities does continental service	[IN:CITY what cities does [SL:AIRLINE_NAME continental ] service ]
show me the flights that leave on thursday mornings from atlanta to washington and include whether meals are offered and what the prices are	show me the flights that leave on thursday mornings from atlanta to washington and include whether meals are offered and what the prices are	[IN:FLIGHT show me the flights that leave on [SL:DEPART_DATE [SL:DAY_NAME thursday ] ] [SL:DEPART_TIME [SL:PERIOD_OF_DAY mornings ] ] from [SL:FROM_LOCATION [SL:CITY_NAME atlanta ] ] to [SL:TO_LOCATION [SL:CITY_NAME washington ] ] and include whether [SL:MEAL meals ] are offered and what the prices are ]
